FID,Lat,Long,Dry_days,Wet_days
0,28.75,80.0,271,94
1,29.0,79.25,279,86
2,29.0,79.5,268,97
3,29.0,79.75,240,125
4,29.0,80.0,238,127
5,29.25,79.0,256,109
6,29.25,79.25,235,130
7,29.25,79.5,225,140
8,29.25,79.75,222,143
9,29.25,80.0,224,141
10,29.25,80.25,203,162
11,29.5,78.75,295,70
12,29.5,79.0,282,83
13,29.5,79.25,236,129
14,29.5,79.5,225,140
15,29.5,79.75,201,164
16,29.5,80.0,205,160
17,29.5,80.25,197,168
18,29.75,78.0,282,83
19,29.75,78.25,299,66
20,29.75,78.5,272,93
21,29.75,78.75,255,110
22,29.75,79.0,259,106
23,29.75,79.25,239,126
24,29.75,79.5,231,134
25,29.75,79.75,197,168
26,29.75,80.0,192,173
27,29.75,80.25,198,167
28,30.0,77.75,262,103
29,30.0,78.0,272,93
30,30.0,78.25,230,135
31,30.0,78.5,235,130
32,30.0,78.75,245,120
33,30.0,79.0,220,145
34,30.0,79.25,210,155
35,30.0,79.5,184,181
36,30.0,79.75,204,161
37,30.0,80.0,237,128
38,30.0,80.25,217,148
39,30.0,80.5,212,153
40,30.25,78.0,258,107
41,30.25,78.25,218,147
42,30.25,78.5,228,137
43,30.25,78.75,229,136
44,30.25,79.0,202,163
45,30.25,79.25,198,167
46,30.25,79.5,193,172
47,30.25,79.75,201,164
48,30.25,80.0,235,130
49,30.25,80.25,219,146
50,30.25,80.5,218,147
51,30.25,80.75,218,147
52,30.25,81.0,229,136
53,30.5,78.0,232,133
54,30.5,78.25,224,141
55,30.5,78.5,219,146
56,30.5,78.75,215,150
57,30.5,79.0,198,167
58,30.5,79.25,199,166
59,30.5,79.5,218,147
60,30.5,79.75,195,170
61,30.5,80.0,218,147
62,30.5,80.25,223,142
63,30.75,77.75,245,120
64,30.75,78.0,223,142
65,30.75,78.25,207,158
66,30.75,78.5,212,153
67,30.75,78.75,212,153
68,30.75,79.0,196,169
69,30.75,79.25,212,153
70,30.75,79.5,205,160
71,30.75,79.75,194,171
72,30.75,80.0,203,162
73,31.0,78.0,242,123
74,31.0,78.25,192,173
75,31.0,78.5,192,173
76,31.0,78.75,208,157
77,31.0,79.0,196,169
78,31.0,79.25,205,160
79,31.0,79.5,204,161
80,31.0,79.75,199,166
81,31.25,78.25,190,175
82,31.25,79.0,182,183
