FID,Lat,Long,Winter_Rainfall_Total,Winter_Dry_days,Winter_Wet_days,Winter_Class1_days,Winter_Class2_days,Winter_Class3_days,Winter_Class4_days,Winter_Class5_days,Summer_Rainfall_Total,Summer_Dry_days,Summer_Wet_days,Summer_Class1_days,Summer_Class2_days,Summer_Class3_days,Summer_Class4_days,Summer_Class5_days,Monsoon_Rainfall_Total,Monsoon_Dry_days,Monsoon_Wet_days,Monsoon_Class1_days,Monsoon_Class2_days,Monsoon_Class3_days,Monsoon_Class4_days,Monsoon_Class5_days,Autumn_Rainfall_Total,Autumn_Dry_days,Autumn_Wet_days,Autumn_Class1_days,Autumn_Class2_days,Autumn_Class3_days,Autumn_Class4_days,Autumn_Class5_days
0,28.75,80.0,10,57,2,57,2,0,0,0,46,85,7,85,5,2,0,0,2118,46,76,46,29,31,12,4,12,90,2,90,2,0,0,0
1,29.0,79.25,13,57,2,57,2,0,0,0,58,83,9,83,8,1,0,0,1672,40,82,40,44,27,9,2,10,89,3,89,3,0,0,0
2,29.0,79.5,17,56,3,56,2,1,0,0,99,81,11,81,8,3,0,0,1927,33,89,33,36,40,13,0,14,90,2,90,2,0,0,0
3,29.0,79.75,19,56,3,56,2,1,0,0,74,77,15,77,13,2,0,0,1717,37,85,37,41,36,8,0,13,89,3,89,3,0,0,0
4,29.0,80.0,12,56,3,56,3,0,0,0,69,74,18,74,16,2,0,0,1814,37,85,37,37,39,7,2,13,89,3,89,3,0,0,0
5,29.25,79.0,13,56,3,56,3,0,0,0,28,85,7,85,6,1,0,0,801,42,80,42,52,28,0,0,10,90,2,90,2,0,0,0
6,29.25,79.25,24,56,3,56,2,1,0,0,169,72,20,72,15,4,1,0,2300,30,92,30,31,48,9,4,20,89,3,89,2,1,0,0
7,29.25,79.5,25,56,3,56,2,1,0,0,147,69,23,69,18,5,0,0,1804,27,95,27,42,44,9,0,24,88,4,88,3,1,0,0
8,29.25,79.75,32,56,3,56,2,1,0,0,121,66,26,66,22,4,0,0,826,38,84,38,56,27,1,0,22,87,5,87,4,1,0,0
9,29.25,80.0,31,56,3,56,2,1,0,0,132,63,29,63,26,3,0,0,866,38,84,38,55,28,1,0,18,89,3,89,2,1,0,0
10,29.25,80.25,28,56,3,56,2,1,0,0,150,60,32,60,26,6,0,0,1162,32,90,32,50,38,2,0,19,87,5,87,4,1,0,0
11,29.5,78.75,15,56,3,56,3,0,0,0,22,86,6,86,6,0,0,0,661,52,70,52,45,25,0,0,13,90,2,90,1,1,0,0
12,29.5,79.0,17,56,3,56,3,0,0,0,56,74,18,74,16,2,0,0,863,38,84,38,53,31,0,0,13,89,3,89,3,0,0,0
13,29.5,79.25,29,56,3,56,2,1,0,0,154,66,26,66,23,3,0,0,1278,34,88,34,48,36,4,0,26,88,4,88,3,1,0,0
14,29.5,79.5,26,56,3,56,2,1,0,0,120,65,27,65,24,3,0,0,875,39,83,39,55,27,1,0,29,88,4,88,3,1,0,0
15,29.5,79.75,29,56,3,56,2,1,0,0,166,58,34,58,29,5,0,0,783,35,87,35,58,29,0,0,19,88,4,88,3,1,0,0
16,29.5,80.0,37,56,3,56,1,2,0,0,228,58,34,58,24,10,0,0,844,36,86,36,58,28,0,0,24,88,4,88,3,1,0,0
17,29.5,80.25,37,55,4,55,2,2,0,0,231,52,40,52,32,8,0,0,1384,19,103,19,50,53,0,0,29,87,5,87,4,1,0,0
18,29.75,78.0,13,55,4,55,4,0,0,0,73,66,26,66,25,1,0,0,1192,37,85,37,48,34,1,2,26,89,3,89,2,1,0,0
19,29.75,78.25,12,56,3,56,3,0,0,0,24,84,8,84,8,0,0,0,1031,57,65,57,31,30,4,0,15,90,2,90,1,1,0,0
20,29.75,78.5,6,57,2,57,2,0,0,0,14,85,7,85,7,0,0,0,768,63,59,63,36,21,2,0,5,90,2,90,2,0,0,0
21,29.75,78.75,12,56,3,56,3,0,0,0,19,83,9,83,9,0,0,0,803,47,75,47,46,27,2,0,7,89,3,89,3,0,0,0
22,29.75,79.0,29,56,3,56,2,1,0,0,125,72,20,72,15,5,0,0,603,47,75,47,54,21,0,0,17,89,3,89,2,1,0,0
23,29.75,79.25,26,56,3,56,2,1,0,0,157,75,17,75,12,5,0,0,443,68,54,68,39,15,0,0,9,90,2,90,2,0,0,0
24,29.75,79.5,20,56,3,56,2,1,0,0,136,65,27,65,23,4,0,0,783,39,83,39,54,29,0,0,6,91,1,91,1,0,0,0
25,29.75,79.75,22,56,3,56,2,1,0,0,152,60,32,60,28,4,0,0,1099,35,87,35,42,44,1,0,9,91,1,91,1,0,0,0
26,29.75,80.0,28,55,4,55,2,2,0,0,183,57,35,57,30,5,0,0,1215,30,92,30,45,46,1,0,24,88,4,88,3,1,0,0
27,29.75,80.25,40,56,3,56,1,2,0,0,255,54,38,54,30,8,0,0,2122,17,105,17,38,60,6,1,38,86,6,86,4,2,0,0
28,30.0,77.75,16,55,4,55,4,0,0,0,77,66,26,66,25,1,0,0,1195,40,82,40,49,29,3,1,10,89,3,89,3,0,0,0
29,30.0,78.0,22,55,4,55,3,1,0,0,105,66,26,66,24,2,0,0,1649,35,87,35,40,41,4,2,29,88,4,88,3,1,0,0
30,30.0,78.25,34,55,4,55,2,2,0,0,118,63,29,63,27,2,0,0,1500,36,86,36,40,40,6,0,31,86,6,86,5,1,0,0
31,30.0,78.5,19,56,3,56,3,0,0,0,38,73,19,73,19,0,0,0,920,54,68,54,37,28,3,0,15,87,5,87,5,0,0,0
32,30.0,78.75,23,56,3,56,2,1,0,0,75,72,20,72,19,1,0,0,589,55,67,55,42,25,0,0,11,89,3,89,3,0,0,0
33,30.0,79.0,30,56,3,56,2,1,0,0,138,68,24,68,18,6,0,0,786,39,83,39,48,34,1,0,18,90,2,90,1,1,0,0
34,30.0,79.25,31,56,3,56,2,1,0,0,142,69,23,69,16,7,0,0,733,42,80,42,48,31,1,0,20,89,3,89,2,1,0,0
35,30.0,79.5,26,56,3,56,2,1,0,0,153,66,26,66,20,6,0,0,1578,41,81,41,34,39,6,2,7,90,2,90,2,0,0,0
36,30.0,79.75,30,55,4,55,3,1,0,0,170,65,27,65,22,5,0,0,2366,26,96,26,41,43,7,5,6,88,4,88,4,0,0,0
37,30.0,80.0,26,55,4,55,3,1,0,0,249,51,41,51,34,7,0,0,2379,15,107,15,32,62,11,2,49,81,11,81,10,1,0,0
38,30.0,80.25,37,55,4,55,2,2,0,0,259,55,37,55,27,10,0,0,2331,16,106,16,36,60,8,2,46,81,11,81,9,2,0,0
39,30.0,80.5,39,55,4,55,2,2,0,0,257,54,38,54,29,9,0,0,2257,15,107,15,39,59,8,1,43,83,9,83,7,2,0,0
40,30.25,78.0,38,55,4,55,3,1,0,0,84,77,15,77,13,2,0,0,1867,38,84,38,34,41,7,2,22,86,6,86,6,0,0,0
41,30.25,78.25,45,55,4,55,2,2,0,0,197,63,29,63,22,7,0,0,1288,38,84,38,45,33,6,0,38,86,6,86,4,2,0,0
42,30.25,78.5,21,55,4,55,3,1,0,0,79,69,23,69,22,1,0,0,708,55,67,55,40,26,1,0,16,87,5,87,5,0,0,0
43,30.25,78.75,23,56,3,56,2,1,0,0,110,67,25,67,23,2,0,0,704,57,65,57,42,21,2,0,15,89,3,89,3,0,0,0
44,30.25,79.0,27,56,3,56,2,1,0,0,195,65,27,65,20,7,0,0,1226,35,87,35,48,37,1,1,27,89,3,89,2,1,0,0
45,30.25,79.25,40,56,3,56,2,1,0,0,212,63,29,63,23,6,0,0,1322,28,94,28,44,48,2,0,38,85,7,85,6,1,0,0
46,30.25,79.5,39,55,4,55,3,1,0,0,216,58,34,58,27,7,0,0,1660,27,95,27,37,54,4,0,27,86,6,86,5,1,0,0
47,30.25,79.75,27,55,4,55,3,1,0,0,205,53,39,53,32,7,0,0,2113,20,102,20,37,55,8,2,25,83,9,83,8,1,0,0
48,30.25,80.0,27,55,4,55,3,1,0,0,254,52,40,52,33,7,0,0,2450,15,107,15,30,63,12,2,49,81,11,81,10,1,0,0
49,30.25,80.25,31,55,4,55,2,2,0,0,256,50,42,50,35,7,0,0,2373,14,108,14,31,66,9,2,46,81,11,81,10,1,0,0
50,30.25,80.5,35,55,4,55,2,2,0,0,256,53,39,53,30,9,0,0,2237,13,109,13,37,62,9,1,44,81,11,81,10,1,0,0
51,30.25,80.75,37,55,4,55,2,2,0,0,256,54,38,54,28,10,0,0,2274,15,107,15,38,59,8,2,45,81,11,81,9,2,0,0
52,30.25,81.0,40,54,5,54,3,2,0,0,258,55,37,55,28,9,0,0,2346,17,105,17,36,59,9,1,46,82,10,82,8,2,0,0
53,30.5,78.0,40,55,4,55,2,2,0,0,111,67,25,67,21,4,0,0,1778,32,90,32,38,45,5,2,34,86,6,86,5,1,0,0
54,30.5,78.25,37,55,4,55,2,2,0,0,138,61,31,61,28,3,0,0,793,36,86,36,61,23,2,0,40,86,6,86,4,2,0,0
55,30.5,78.5,35,54,5,54,3,2,0,0,115,66,26,66,24,2,0,0,548,35,87,35,71,15,1,0,30,88,4,88,3,1,0,0
56,30.5,78.75,30,55,4,55,3,1,0,0,212,59,33,59,26,7,0,0,1496,31,91,31,37,52,2,0,14,89,3,89,2,1,0,0
57,30.5,79.0,34,56,3,56,2,1,0,0,221,58,34,58,25,9,0,0,1747,27,95,27,38,52,5,0,16,89,3,89,2,1,0,0
58,30.5,79.25,48,54,5,54,4,1,0,0,237,60,32,60,24,8,0,0,1273,29,93,29,44,47,2,0,39,86,6,86,5,1,0,0
59,30.5,79.5,39,54,5,54,4,1,0,0,216,61,31,61,24,7,0,0,1142,28,94,28,50,44,0,0,29,87,5,87,4,1,0,0
60,30.5,79.75,36,54,5,54,4,1,0,0,238,53,39,53,31,8,0,0,1666,19,103,19,43,58,2,0,34,83,9,83,8,1,0,0
61,30.5,80.0,30,54,5,54,4,1,0,0,237,49,43,49,38,5,0,0,2090,14,108,14,39,62,6,1,39,81,11,81,10,1,0,0
62,30.5,80.25,30,55,4,55,2,2,0,0,254,50,42,50,35,7,0,0,2357,12,110,12,34,66,9,1,45,81,11,81,10,1,0,0
63,30.75,77.75,51,55,4,55,1,3,0,0,127,67,25,67,22,3,0,0,1022,48,74,48,41,31,2,0,36,82,10,82,9,1,0,0
64,30.75,78.0,42,55,4,55,2,2,0,0,135,63,29,63,26,3,0,0,1228,40,82,40,39,41,2,0,36,87,5,87,4,1,0,0
65,30.75,78.25,49,55,4,55,2,2,0,0,138,69,23,69,17,6,0,0,1412,39,83,39,43,34,6,0,44,89,3,89,1,2,0,0
66,30.75,78.5,41,55,4,55,2,2,0,0,150,66,26,66,22,4,0,0,884,33,89,33,54,35,0,0,35,89,3,89,2,1,0,0
67,30.75,78.75,49,55,4,55,2,2,0,0,206,59,33,59,25,8,0,0,1195,23,99,23,57,39,3,0,35,89,3,89,2,1,0,0
68,30.75,79.0,42,55,4,55,3,1,0,0,204,55,37,55,30,7,0,0,1446,20,102,20,50,50,2,0,27,88,4,88,3,1,0,0
69,30.75,79.25,43,55,4,55,3,1,0,0,218,56,36,56,28,8,0,0,1263,24,98,24,48,49,1,0,31,87,5,87,4,1,0,0
70,30.75,79.5,40,55,4,55,3,1,0,0,218,58,34,58,27,7,0,0,1215,24,98,24,52,45,1,0,28,87,5,87,4,1,0,0
71,30.75,79.75,39,55,4,55,3,1,0,0,220,54,38,54,31,7,0,0,1333,18,104,18,54,50,0,0,35,85,7,85,6,1,0,0
72,30.75,80.0,34,54,5,54,4,1,0,0,242,52,40,52,33,7,0,0,1926,19,103,19,38,62,2,1,41,83,9,83,8,1,0,0
73,31.0,78.0,46,55,4,55,1,3,0,0,110,66,26,66,23,3,0,0,948,43,79,43,52,24,3,0,37,81,11,81,10,1,0,0
74,31.0,78.25,51,55,4,55,1,3,0,0,150,63,29,63,25,4,0,0,1114,32,90,32,45,44,1,0,39,89,3,89,2,1,0,0
75,31.0,78.5,56,55,4,55,1,3,0,0,170,64,28,64,21,7,0,0,1044,29,93,29,53,40,0,0,39,89,3,89,2,1,0,0
76,31.0,78.75,53,55,4,55,2,2,0,0,197,59,33,59,26,7,0,0,1204,22,100,22,59,41,0,0,36,89,3,89,2,1,0,0
77,31.0,79.0,50,54,5,54,3,2,0,0,206,55,37,55,29,8,0,0,1315,17,105,17,57,47,1,0,32,88,4,88,3,1,0,0
78,31.0,79.25,50,54,5,54,3,2,0,0,217,57,35,57,28,7,0,0,1346,25,97,25,41,55,1,0,29,87,5,87,4,1,0,0
79,31.0,79.5,49,55,4,55,2,2,0,0,220,57,35,57,26,9,0,0,1266,25,97,25,47,49,1,0,32,87,5,87,4,1,0,0
80,31.0,79.75,44,55,4,55,3,1,0,0,224,55,37,55,29,8,0,0,1259,22,100,22,52,48,0,0,35,86,6,86,5,1,0,0
81,31.25,78.25,45,53,6,53,4,2,0,0,154,62,30,62,24,6,0,0,455,41,81,41,66,15,0,0,61,82,10,82,8,2,0,0
82,31.25,79.0,57,53,6,53,3,3,0,0,191,57,35,57,27,8,0,0,1230,20,102,20,57,45,0,0,29,88,4,88,3,1,0,0
