Cluster,FID,Lat,Long,DAYNO.,RAINFALL,YEAR
0,74.0,31.0,78.25,183.5,3.8688524590163933,1980.0
1,15.0,29.5,79.75,183.5,2.887978142076503,1980.0
2,44.0,30.25,79.0,183.5,3.6147540983606556,1980.0
3,31.0,30.0,78.5,183.5,3.314207650273224,1980.0
4,48.0,30.25,80.0,183.5,3.598360655737705,1980.0
5,78.0,31.0,79.25,183.5,3.4836065573770494,1980.0
6,28.0,30.0,77.75,183.5,2.453551912568306,1980.0
7,12.0,29.5,79.0,183.5,4.008196721311475,1980.0
8,3.0,29.0,79.75,183.5,4.136612021857924,1980.0
9,39.0,30.0,80.5,183.5,5.366120218579235,1980.0
10,67.0,30.75,78.75,183.5,3.797814207650273,1980.0
11,71.0,30.75,79.75,183.5,2.890710382513661,1980.0
12,53.0,30.5,78.0,183.5,5.259562841530054,1980.0
13,17.0,29.5,80.25,183.5,4.101092896174864,1980.0
14,46.0,30.25,79.5,183.5,2.9672131147540983,1980.0
15,13.0,29.5,79.25,183.5,4.887978142076503,1980.0
16,34.0,30.0,79.25,183.5,3.26775956284153,1980.0
17,51.5,30.25,80.875,183.5,5.476775956284153,1980.0
18,66.0,30.75,78.5,183.5,3.4672131147540983,1980.0
19,6.0,29.25,79.25,183.5,3.3333333333333335,1980.0
20,69.0,30.75,79.25,183.5,3.23224043715847,1980.0
21,82.0,31.25,79.0,183.5,3.5136612021857925,1980.0
22,63.5,30.75,77.875,183.5,3.8360655737704916,1980.0
23,8.0,29.25,79.75,183.5,2.7704918032786887,1980.0
24,18.0,29.75,78.0,183.5,2.7950819672131146,1980.0
25,24.0,29.75,79.5,183.5,1.849726775956284,1980.0
26,25.0,29.75,79.75,183.5,2.459016393442623,1980.0
27,21.0,29.75,78.75,183.5,3.6830601092896176,1980.0
28,61.0,30.5,80.0,183.5,2.800546448087432,1980.0
29,4.0,29.0,80.0,183.5,3.5846994535519126,1980.0
30,41.0,30.25,78.25,183.5,4.1530054644808745,1980.0
31,2.0,29.0,79.5,183.5,1.2677595628415301,1980.0
32,29.0,30.0,78.0,183.5,3.6748633879781423,1980.0
33,42.0,30.25,78.5,183.5,1.510928961748634,1980.0
34,76.0,31.0,78.75,183.5,3.7568306010928962,1980.0
35,5.0,29.25,79.0,183.5,3.5382513661202184,1980.0
36,49.0,30.25,80.25,183.5,4.5109289617486334,1980.0
37,58.0,30.5,79.25,183.5,3.1147540983606556,1980.0
38,57.0,30.5,79.0,183.5,4.937158469945355,1980.0
39,43.0,30.25,78.75,183.5,1.721311475409836,1980.0
40,40.0,30.25,78.0,183.5,3.9644808743169397,1980.0
41,22.0,29.75,79.0,183.5,3.773224043715847,1980.0
42,55.5,30.5,78.625,183.5,3.230874316939891,1980.0
43,30.0,30.0,78.25,183.5,4.601092896174864,1980.0
44,35.0,30.0,79.5,183.5,2.2650273224043715,1980.0
45,81.0,31.25,78.25,183.5,3.0765027322404372,1980.0
46,26.0,29.75,80.0,183.5,3.6448087431693987,1980.0
47,75.0,31.0,78.5,183.5,3.669398907103825,1980.0
48,70.0,30.75,79.5,183.5,3.0382513661202184,1980.0
49,45.0,30.25,79.25,183.5,3.6065573770491803,1980.0
50,32.0,30.0,78.75,183.5,2.0355191256830603,1980.0
51,14.0,29.5,79.5,183.5,4.748633879781421,1980.0
52,60.0,30.5,79.75,183.5,2.7950819672131146,1980.0
53,19.0,29.75,78.25,183.5,1.4207650273224044,1980.0
54,10.0,29.25,80.25,183.5,3.366120218579235,1980.0
55,7.0,29.25,79.5,183.5,3.4754098360655736,1980.0
56,68.0,30.75,79.0,183.5,4.10655737704918,1980.0
57,72.0,30.75,80.0,183.5,2.8524590163934427,1980.0
58,65.0,30.75,78.25,183.5,4.278688524590164,1980.0
59,62.0,30.5,80.25,183.5,4.308743169398907,1980.0
60,36.0,30.0,79.75,183.5,2.4262295081967213,1980.0
61,9.0,29.25,80.0,183.5,2.6475409836065573,1980.0
62,77.0,31.0,79.0,183.5,3.57103825136612,1980.0
63,59.0,30.5,79.5,183.5,2.912568306010929,1980.0
64,16.0,29.5,80.0,183.5,3.262295081967213,1980.0
