FID,Lat,Long,Winter_Rainfall_Total,Winter_Dry_days,Winter_Wet_days,Winter_Class1_days,Winter_Class2_days,Winter_Class3_days,Winter_Class4_days,Winter_Class5_days,Summer_Rainfall_Total,Summer_Dry_days,Summer_Wet_days,Summer_Class1_days,Summer_Class2_days,Summer_Class3_days,Summer_Class4_days,Summer_Class5_days,Monsoon_Rainfall_Total,Monsoon_Dry_days,Monsoon_Wet_days,Monsoon_Class1_days,Monsoon_Class2_days,Monsoon_Class3_days,Monsoon_Class4_days,Monsoon_Class5_days,Autumn_Rainfall_Total,Autumn_Dry_days,Autumn_Wet_days,Autumn_Class1_days,Autumn_Class2_days,Autumn_Class3_days,Autumn_Class4_days,Autumn_Class5_days
0,28.75,80,19,53,6,53,6,0,0,0,57,83,9,83,8,1,0,0,1346,36,86,36,44,36,6,0,53,83,9,83,7,2,0,0
1,29,79.25,18,53,6,53,6,0,0,0,51,87,5,87,3,2,0,0,579,55,67,55,48,19,0,0,48,87,5,87,3,2,0,0
2,29,79.5,10,55,4,55,4,0,0,0,22,90,2,90,1,1,0,0,403,91,31,91,19,11,1,0,29,89,3,89,2,1,0,0
3,29,79.75,6,55,4,55,4,0,0,0,67,85,7,85,5,2,0,0,1409,42,80,42,39,31,10,0,32,84,8,84,7,1,0,0
4,29,80,14,53,6,53,6,0,0,0,54,83,9,83,8,1,0,0,1201,34,88,34,46,39,3,0,43,82,10,82,9,1,0,0
5,29.25,79,24,52,7,52,7,0,0,0,36,84,8,84,6,2,0,0,1177,44,78,44,39,34,5,0,58,85,7,85,6,1,0,0
6,29.25,79.25,40,51,8,51,6,2,0,0,51,82,10,82,8,2,0,0,1076,38,84,38,45,37,2,0,53,88,4,88,3,1,0,0
7,29.25,79.5,41,51,8,51,7,1,0,0,66,82,10,82,8,2,0,0,1114,38,84,38,36,47,1,0,51,86,6,86,5,1,0,0
8,29.25,79.75,24,51,8,51,8,0,0,0,45,81,11,81,11,0,0,0,900,36,86,36,49,37,0,0,45,85,7,85,6,1,0,0
9,29.25,80,44,51,8,51,8,0,0,0,40,80,12,80,11,1,0,0,832,33,89,33,62,26,1,0,53,80,12,80,10,2,0,0
10,29.25,80.25,38,52,7,52,7,0,0,0,65,76,16,76,15,1,0,0,1060,30,92,30,46,44,2,0,69,79,13,79,12,1,0,0
11,29.5,78.75,21,53,6,53,6,0,0,0,81,81,11,81,9,2,0,0,1073,55,67,55,32,31,4,0,41,85,7,85,6,1,0,0
12,29.5,79,50,52,7,52,5,2,0,0,64,81,11,81,8,3,0,0,1286,39,83,39,41,36,5,1,67,84,8,84,7,1,0,0
